"FID","id","nome","uf","codigo_ibg","codigo_mun","ano","populacao","agua","esgoto","taxa_esgoto","taxa_agua"
"243",242,2878,"Jupi","PE",2608305,260830,2015,14525,2576,0,0,0.177349397590361
"244",243,2879,"Jurema","PE",2608404,260840,2015,15171,13000,0,0,0.856898029134533
"245",244,2885,"Lajedo","PE",2608800,260880,2015,39240,39146,0,0,0.997604485219164
"246",245,2891,"Mirandiba","PE",2609303,260930,2015,15098,12707,0,0,0.841634653596503
"247",246,2892,"Moreilândia","PE",2614303,261430,2015,11242,5336,0,0,0.474648639032201
"248",247,2886,"Limoeiro","PE",2608909,260890,2015,56269,43432,0,0,0.771863726030319
"249",248,2889,"Manari","PE",2609154,260915,2015,20302,7347,0,0,0.361885528519358
"250",249,2896,"Orobó","PE",2609709,260970,2015,23663,7434,0,0,0.314161348941385
"251",250,2901,"Panelas","PE",2610202,261020,2015,26464,16338,14410,0.544513301088271,0.617366989117291
"252",251,2898,"Ouricuri","PE",2609907,260990,2015,67676,48928,0,0,0.722974171050298
"253",252,2900,"Palmeirina","PE",2610103,261010,2015,7969,5303,0,0,0.665453632827205
"254",253,2902,"Paranatama","PE",2610301,261030,2015,11357,1392,0,0,0.122567579466408
"255",254,2907,"Pedra","PE",2610806,261080,2015,22401,10734,0,0,0.479175036828713
"256",255,2903,"Parnamirim","PE",2610400,261040,2015,21193,12236,0,0,0.577360449204926
"257",256,2904,"Passira","PE",2610509,261050,2015,28982,17454,0,0,0.602235870540335
"258",257,2906,"Paulista","PE",2610707,251090,2015,12216,4678,0,0,0.382940406024885
"259",258,2908,"Pesqueira","PE",2610905,261090,2015,66153,40933,0,0,0.618762565567699
"260",259,2917,"Riacho das Almas","PE",2611705,261170,2015,20177,12754,0,0,0.632105863111464
"261",260,2941,"São Vicente Ferrer","PE",2613800,261380,2015,17763,8279,0,0,0.466081179980859
"262",261,2911,"Poção","PE",2611200,261120,2015,11265,6686,0,0,0.593519751442521
"263",262,2915,"Quixaba","PE",2611533,261153,2015,6823,3605,0,0,0.528359958962333
"264",263,2920,"Sairé","PE",2612000,261200,2015,10437,9731,0,0,0.932356041007952
"265",264,2921,"Salgadinho","PE",2612109,251300,2015,3871,1305,692,0.178765176956859,0.337122190648411
"266",265,2922,"Salgueiro","PE",2612208,261220,2015,59769,59769,19937,0.33356756847195,1
"267",266,2924,"Sanharó","PE",2612406,261240,2015,25047,20948,0,0,0.836347666387192
"268",267,2925,"Santa Cruz","PE",2612455,251320,2015,6579,4176,0,0,0.634746922024624
"269",268,2926,"Santa Cruz da Baixa Verde","PE",2612471,261247,2015,12375,191,0,0,0.0154343434343434
"270",269,2927,"Santa Cruz do Capibaribe","PE",2612505,261250,2015,101485,78656,0,0,0.775050500073903
"271",270,2930,"Santa Maria do Cambucá","PE",2612703,261270,2015,13826,6775,0,0,0.490018805149718
"272",271,2933,"São Bento do Una","PE",2613008,261300,2015,57659,27118,0,0,0.470316862935535
"273",272,2934,"São Caitano","PE",2613107,261310,2015,36763,29594,0,0,0.80499415172864
"274",273,2936,"São Joaquim do Monte","PE",2613305,261330,2015,21171,16087,0,0,0.759860186103632
"275",274,2938,"São José do Belmonte","PE",2613503,261350,2015,33677,20351,21500,0.638417911334145,0.604299670398195
"276",275,2939,"São José do Egito","PE",2613602,261360,2015,33365,24606,21971,0.65850442080024,0.737479394575154
"277",276,2942,"Serra Talhada","PE",2613909,261390,2015,84352,84352,65450,0.775915212443096,1
"278",277,2943,"Serrita","PE",2614006,261400,2015,19017,10802,0,0,0.568018089078193
"279",278,2944,"Sertânia","PE",2614105,261410,2015,35367,19693,0,0,0.556818503124382
"280",279,2947,"Surubim","PE",2614501,261450,2015,63166,63166,0,0,1
"281",280,2577,"Aroeiras","PB",2501302,250130,2015,19204,0,0,0,0
