id;nome;uf;populacao;pib;estado_id;codigo_ibg;OID_;MUNICIPIO;UF_1;MUNICIPI_1;UF_12
3739;Jandu├¡s;RN;5345;28893;20;2405207;274;├ügua Nova;RN;Jandu├¡s;RN
2657;Juazeirinho;PB;16776;74857;15;2507705;161;Aparecida;PB;Juazeirinho;PB
2658;Junco do Serid├│;PB;6643;28343;15;2507804;161;Aparecida;PB;Junco do Serid├│;PB
2659;Juripiranga;PB;10237;54178;15;2507903;161;Aparecida;PB;Juripiranga;PB
2664;Lastro;PB;2841;14276;15;2508406;161;Aparecida;PB;Lastro;PB
2665;Livramento;PB;7164;30907;15;2508505;161;Aparecida;PB;Livramento;PB
3742;Jardim de Angicos;RN;2607;14136;20;2405504;274;├ügua Nova;RN;Jardim de Angicos;RN
2594;Boqueir├úo;PB;16888;105054;15;2502508;161;Aparecida;PB;Boqueir├úo;PB
2669;Malta;PB;5613;25455;15;2508802;161;Aparecida;PB;Malta;PB
3734;Ipueira;RN;2077;14429;20;2404804;274;├ügua Nova;RN;Ipueira;RN
3736;Ita├║;RN;5564;31158;20;2404903;274;├ügua Nova;RN;Ita├║;RN
2596;Brejo do Cruz;PB;13123;57812;15;2502805;161;Aparecida;PB;Brejo do Cruz;PB
2575;Areia de Bara├║nas;PB;1927;9611;15;2501153;161;Aparecida;PB;Areia de Bara├║nas;PB
2578;Assun├º├úo;PB;3522;17848;15;2501351;161;Aparecida;PB;Assun├º├úo;PB
2581;Bara├║na;PB;4220;19034;15;2501534;161;Aparecida;PB;Bara├║na;RN
2680;Mogeiro;PB;12491;62262;15;2509404;161;Aparecida;PB;Mogeiro;PB
2704;Pil├Áes;PB;6978;34066;15;2511608;161;Aparecida;PB;Pil├Áes;RN
2694;Passagem;PB;2233;13378;15;2510709;161;Aparecida;PB;Passagem;PB
2719;Riach├úo do Bacamarte;PB;4264;20663;15;2512754;161;Aparecida;PB;Riach├úo do Bacamarte;PB
2720;Riach├úo do Po├ºo;PB;4164;20829;15;2512762;161;Aparecida;PB;Riach├úo do Po├ºo;PB
2601;Cachoeira dos ├ìndios;PB;9546;47126;15;2503308;161;Aparecida;PB;Cachoeira dos ├ìndios;PB
3695;Augusto Severo;RN;9289;45248;20;2401305;274;├ügua Nova;RN;Augusto Severo;RN
2606;Cajazeiras;PB;58446;461767;15;2503704;161;Aparecida;PB;Cajazeiras;PB
2608;Caldas Brand├úo;PB;5637;27843;15;2503803;161;Aparecida;PB;Caldas Brand├úo;PB
2862;Ingazeira;PE;4496;21808;16;2607109;0;Araripina;PE;Ingazeira;PE
2609;Camala├║;PB;5749;26379;15;2503902;161;Aparecida;PB;Camala├║;PB
2618;Caturit├®;PB;4543;35912;15;2504355;161;Aparecida;PB;Caturit├®;PB
3697;Bara├║na;RN;24182;207111;20;2401453;274;├ügua Nova;RN;Bara├║na;RN
2565;Alagoinha;PB;13576;55240;15;2500502;161;Aparecida;PB;Alagoinha;PE
2767;Sobrado;PB;7373;34320;15;2515971;161;Aparecida;PB;Sobrado;PB
2566;Alcantil;PB;5239;25167;15;2500536;161;Aparecida;PB;Alcantil;PB
2569;Amparo;PB;2088;10312;15;2500734;161;Aparecida;PB;Amparo;PB
2570;Aparecida;PB;7676;34357;15;2500775;161;Aparecida;PB;Aparecida;PB
3701;Bom Jesus;RN;9440;46809;20;2401701;274;├ügua Nova;RN;Bom Jesus;PB
3702;Brejinho;RN;11577;60567;20;2401800;274;├ügua Nova;RN;Brejinho;PE
2622;Congo;PB;4687;29041;15;2504702;161;Aparecida;PB;Congo;PB
3757;Lucr├®cia;RN;3633;18137;20;2406908;274;├ügua Nova;RN;Lucr├®cia;RN
2625;Cruz do Esp├¡rito Santo;PB;16257;84952;15;2504900;161;Aparecida;PB;Cruz do Esp├¡rito Santo;PB
2626;Cubati;PB;6866;29356;15;2505006;161;Aparecida;PB;Cubati;PB
2782;Vista Serrana;PB;3512;15085;15;2505501;161;Aparecida;PB;Vista Serrana;PB
2783;Zabel├¬;PB;2075;10369;15;2517407;161;Aparecida;PB;Zabel├¬;PB
2592;Bom Sucesso;PB;5035;23151;15;2502300;161;Aparecida;PB;Bom Sucesso;PB
2593;Bonito de Santa F├®;PB;10804;47127;15;2502409;161;Aparecida;PB;Bonito de Santa F├®;PB
2787;Agrestina;PE;22679;125572;16;2600302;0;Araripina;PE;Agrestina;PE
2789;├üguas Belas;PE;40235;178224;16;2600500;0;Araripina;PE;├üguas Belas;PE
2794;Angelim;PE;10202;42085;16;2601003;0;Araripina;PE;Angelim;PE
2796;Araripina;PE;77302;413682;16;2601102;0;Araripina;PE;Araripina;PE
2797;Arcoverde;PE;68793;415858;16;2601201;0;Araripina;PE;Arcoverde;PE
2798;Barra de Guabiraba;PE;12776;51451;16;2601300;0;Araripina;PE;Barra de Guabiraba;PE
2831;Cedro;PE;10778;46144;16;2604304;0;Araripina;PE;Cedro;PE
2802;Belo Jardim;PE;72432;784639;16;2601706;0;Araripina;PE;Belo Jardim;PE
2803;Bet├ónia;PE;12003;48656;16;2601805;0;Araripina;PE;Bet├ónia;PE
2806;Bom Conselho;PE;45503;310636;16;2602100;0;Araripina;PE;Bom Conselho;PE
2804;Bezerros;PE;58668;337154;16;2601904;0;Araripina;PE;Bezerros;PE
2805;Bodoc├│;PE;35158;167561;16;2602001;0;Araripina;PE;Bodoc├│;PE
2811;Brejo da Madre de Deus;PE;45180;193454;16;2602605;0;Araripina;PE;Brejo da Madre de Deus;PE
2807;Bom Jardim;PE;37826;187373;16;2602209;0;Araripina;PE;Bom Jardim;PE
2809;Brej├úo;PE;8844;55380;16;2602407;0;Araripina;PE;Brej├úo;PE
2810;Brejinho;PE;7307;30283;16;2602506;0;Araripina;PE;Brejinho;PE
2673;Mari;PB;21176;98329;15;2509107;161;Aparecida;PB;Mari;PB
3717;Doutor Severiano;RN;6492;29407;20;2403202;274;├ügua Nova;RN;Doutor Severiano;RN
3761;Major Sales;RN;3536;17665;20;2407252;274;├ügua Nova;RN;Major Sales;RN
2888;Machados;PE;13596;67865;16;2609105;0;Araripina;PE;Machados;PE
2643;Gurinh├®m;PB;13872;62246;15;2506400;161;Aparecida;PB;Gurinh├®m;PB
2716;Quixab├í;PB;1699;9168;15;2512606;161;Aparecida;PB;Quixab├í;PB
3688;Almino Afonso;RN;4871;21464;20;2400604;274;├ügua Nova;RN;Almino Afonso;RN
2740;S├úo Domingos do Cariri;PB;2420;12311;15;2513943;161;Aparecida;PB;S├úo Domingos do Cariri;PB
2808;Bonito;PE;37566;203314;16;2602308;0;Araripina;PE;Bonito;PE
2813;Bu├¡que;PE;52105;272624;16;2602803;0;Araripina;PE;Bu├¡que;PE
2816;Cachoeirinha;PE;18819;103417;16;2603108;0;Araripina;PE;Cachoeirinha;PE
2828;Caruaru;PE;314912;3003634;16;2604106;0;Araripina;PE;Caruaru;PE
2829;Casinhas;PE;13766;67504;16;2604155;0;Araripina;PE;Casinhas;PE
2835;Correntes;PE;17419;80334;16;2604700;0;Araripina;PE;Correntes;PE
2839;Cust├│dia;PE;33855;207616;16;2605103;0;Araripina;PE;Cust├│dia;PE
2837;Cumaru;PE;17183;94205;16;2604908;0;Araripina;PE;Cumaru;PE
2843;Feira Nova;PE;20571;86263;16;2605400;0;Araripina;PE;Feira Nova;PE
2846;Flores;PE;22169;89068;16;2605608;0;Araripina;PE;Flores;PE
2847;Floresta;PE;29285;286209;16;2605707;0;Araripina;PE;Floresta;PE
2848;Frei Miguelinho;PE;14293;60200;16;2605806;0;Araripina;PE;Frei Miguelinho;PE
