Código do Município ;Município ;Estado ;Região ;Ano de Referência ;Código do Prestador ;Prestador ;Sigla do Prestador ;Abrangência ;Tipo de serviço ;Natureza jurídica ;AG001 - População total atendida com abastecimento de água (Habitantes);ES001 - População total atendida com esgotamento sanitário (Habitantes)
230750;Lavras da Mangabeira;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;14.855;
230765;Maracanaú;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;147.551;65.227
230770;Maranguape;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;71.863;7.088
230780;Marco;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;12.054;
230790;Martinópole;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;6.903;
230800;Massapê;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;19.333;5.248
230810;Mauriti;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;15.001;2.671
230820;Meruoca;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;3.440;
230830;Milagres;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;9.145;
230837;Miraíma;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;5.754;
230840;Missão Velha;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;11.897;369
230850;Mombaça;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;14.586;
230860;Monsenhor Tabosa;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;8.472;
230880;Moraújo;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;2.792;
230890;Morrinhos;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;8.539;
230900;Mucambo;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8.510;1.588
230910;Mulungu;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3.464;550
230920;Nova Olinda;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;8.965;
230940;Novo Oriente;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;10.520;4.131
230945;Ocara;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4.874;777
230950;Orós;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;12.541;
230960;Pacajus;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;40.004;1.851
230970;Pacatuba;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;58.004;30.799
230980;Pacoti;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3.671;2.919
230990;Pacujá;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;3.397;
231000;Palhano;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;3.326;
231010;Palmácia;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3.953;992
231020;Paracuru;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;11.738;3.934
231025;Paraipaba;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;9.875;5.633
231030;Parambu;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;11.153;
231040;Paramoti;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5.539;871
231060;Penaforte;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;5.679;
231070;Pentecoste;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;18.670;
231080;Pereiro;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.400;
231090;Piquet Carneiro;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.812;
231095;Pires Ferreira;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;2.217;
